item_id_a	item_id_b	mode	action	is_directional	a_is_acting	score
4932.Q0250	    4932.YLR089C	activation	activation	t	f	418
4932.YAL005C	4932.YBR276C	inhibition	inhibition	t	f	154
4932.YAL005C	4932.YGL073W	activation	activation	t	f	457
4932.YAL005C	4932.YGR249W	activation	activation	t	f	268
4932.YAL005C	4932.YHR206W	activation	activation	t	f	279
4932.YAL005C	4932.YJL162C	activation  activation	t	f	241
4932.YAL005C	4932.YJL162C	inhibition	inhibition	f	f	241
4932.YAL005C	4932.YJR097W	activation	activation	t	f	241
4932.YAL005C	4932.YJR097W	inhibition	inhibition	f	f	241
4932.YAL005C	4932.YJR147W	activation	activation	t	f	268
4932.YAL005C	4932.YLR090W	activation	activation	t	f	260
4932.YAL005C	4932.YMR161W	activation	activation	t	f	271
4932.YAL005C	4932.YMR161W	inhibition	inhibition	f	f	271
4932.YAL005C	4932.YMR214W	activation	activation	t	f	241
4932.YAL005C	4932.YNL007C	activation	activation	t	f	457
4932.YAL005C	4932.YNL007C	inhibition	inhibition	f	f	463
4932.YAL005C	4932.YNL064C	activation	activation	t	f	260
4932.YAL005C	4932.YNL077W	activation	activation	t	f	241
4932.YAL005C	4932.YOR140W	activation	activation	t	f	268
4932.YAL005C	4932.YOR153W	expression	inhibition	t	t	401
4932.YAL005C	4932.YOR178C	expression	inhibition	t	t	800
4932.YAL010C	4932.YBR179C	activation	activation	f	f	319
4932.YAL010C	4932.YKR001C	activation	activation	f	f	840
4932.YAL010C	4932.YLL001W	activation	activation	f	f	894
4932.YAL010C	4932.YOR211C	activation	activation	f	f	465
4932.YAL013W	4932.YJL106W	activation	activation	t	t	401
4932.YAL014C	4932.YKL196C	activation	activation	f	f	800
4932.YAL016W	4932.YBR103W	activation	activation	t	f	163
4932.YAL016W	4932.YBR103W	activation	activation	t	t	163
4932.YAL016W	4932.YBR198C	activation	activation	t	f	163
4932.YAL016W	4932.YBR198C	activation	activation	t	t	163
4932.YAL016W	4932.YCR002C	activation	activation	t	f	159
4932.YAL016W	4932.YDL003W	activation	activation	f	f	167
4932.YAL016W	4932.YDL047W	activation	activation	t	f	153
4932.YAL016W	4932.YDL047W	activation	activation	t	t	153
4932.YAL016W	4932.YDL047W	inhibition	inhibition	t	f	198
4932.YAL016W	4932.YDL047W	inhibition	inhibition	t	t	198
4932.YAL016W	4932.YDL079C	activation	activation	f	f	247
4932.YAL016W	4932.YDL079C	activation	activation	t	f	247
4932.YAL016W	4932.YDL079C	inhibition	inhibition	f	f	247
4932.YAL016W	4932.YDL079C	inhibition	inhibition	t	f	247
4932.YAL016W	4932.YDL134C	activation	activation	t	f	553
4932.YAL016W	4932.YDL134C	activation	activation	t	t	553
4932.YAL016W	4932.YDL134C	inhibition	inhibition	t	f	583
4932.YAL016W	4932.YDL134C	inhibition	inhibition	t	t	583
4932.YAL016W	4932.YDL188C	activation	activation	t	f	553
4932.YAL016W	4932.YDL188C	activation	activation	t	t	553
4932.YAL016W	4932.YDL188C	inhibition	inhibition	t	f	583
4932.YAL016W	4932.YDL188C	inhibition	inhibition	t	t	583
4932.YAL016W	4932.YDL225W	activation	activation	t	f	268
4932.YAL016W	4932.YDR075W	activation	activation	t	f	153
4932.YAL016W	4932.YDR075W	activation	activation	t	t	153
4932.YAL016W	4932.YDR075W	inhibition	inhibition	t	f	198
4932.YAL016W	4932.YDR075W	inhibition	inhibition	t	t	198
4932.YAL016W	4932.YDR128W	activation	activation	t	f	163
4932.YAL016W	4932.YDR128W	activation	activation	t	t	163
4932.YAL016W	4932.YDR218C	activation	activation	t	f	185
4932.YAL016W	4932.YDR335W	activation	activation	t	f	218
4932.YAL016W	4932.YDR335W	activation	activation	t	t	218
4932.YAL016W	4932.YDR436W	activation	activation	t	f	293
4932.YAL016W	4932.YDR436W	activation	activation	t	t	293
4932.YAL016W	4932.YDR436W	inhibition	inhibition	t	f	198
4932.YAL016W	4932.YDR436W	inhibition	inhibition	t	t	198
4932.YAL016W	4932.YER133W	activation	activation	t	f	509
4932.YAL016W	4932.YER133W	activation	activation	t	t	509
4932.YAL016W	4932.YER133W	inhibition	inhibition	t	f	198
4932.YAL016W	4932.YER133W	inhibition	inhibition	t	t	198
4932.YAL016W	4932.YGL003C	activation	activation	t	f	290
4932.YAL016W	4932.YGL003C	activation	activation	t	t	290
4932.YAL016W	4932.YGL116W	activation	activation	t	f	290
4932.YAL016W	4932.YGL116W	activation	activation	t	t	290
4932.YAL016W	4932.YGL190C	activation	activation	t	f	731
4932.YAL016W	4932.YGL190C	activation	activation	t	t	731
4932.YAL016W	4932.YGR059W	activation	activation	t	f	185
4932.YAL016W	4932.YGR123C	activation	activation	t	f	153
4932.YAL016W	4932.YGR123C	activation	activation	t	t	153
4932.YAL016W	4932.YGR123C	inhibition	inhibition	t	f	198
4932.YAL016W	4932.YGR123C	inhibition	inhibition	t	t	198
4932.YAL016W	4932.YGR218W	activation	activation	t	f	522
4932.YAL016W	4932.YGR218W	activation	activation	t	t	522
4932.YAL016W	4932.YGR225W	activation	activation	t	f	267
4932.YAL016W	4932.YGR225W	activation	activation	t	t	267
4932.YAL016W	4932.YHR107C	activation	activation	t	f	185
4932.YAL016W	4932.YJL076W	activation	activation	f	f	800
4932.YAL016W	4932.YJR076C	activation	activation	t	f	229
4932.YAL016W	4932.YKL010C	activation	activation	f	f	307
4932.YAL016W	4932.YLR314C	activation	activation	t	f	185
4932.YAL016W	4932.YLR433C	activation	activation	t	f	153
4932.YAL016W	4932.YLR433C	activation	activation	t	t	153
4932.YAL016W	4932.YLR433C	inhibition	inhibition	t	f	198
4932.YAL016W	4932.YLR433C	inhibition	inhibition	t	t	198
4932.YAL016W	4932.YLR452C	activation	activation	t	f	159
4932.YAL016W	4932.YML016C	activation	activation	t	f	293
4932.YAL016W	4932.YML016C	activation	activation	t	t	293
4932.YAL016W	4932.YML016C	inhibition	inhibition	t	f	198
4932.YAL016W	4932.YML016C	inhibition	inhibition	t	t	198
4932.YAL016W	4932.YML057W	activation	activation	t	f	153
4932.YAL016W	4932.YML057W	activation	activation	t	t	153
4932.YAL016W	4932.YML057W	inhibition	inhibition	t	f	198
4932.YAL016W	4932.YML057W	inhibition	inhibition	t	t	198
4932.YAL016W	4932.YMR139W	activation	activation	f	f	247
4932.YAL016W	4932.YMR139W	activation	activation	t	f	247
4932.YAL016W	4932.YMR139W	inhibition	inhibition	f	f	247
4932.YAL016W	4932.YMR139W	inhibition	inhibition	t	f	247
4932.YAL016W	4932.YNL182C	activation	activation	t	f	163
4932.YAL016W	4932.YNL182C	activation	activation	t	t	163
4932.YAL016W	4932.YNL217W	activation	activation	t	f	470
4932.YAL016W	4932.YNL217W	activation	activation	t	t	470
4932.YAL016W	4932.YNL217W	inhibition	inhibition	t	f	502
4932.YAL016W	4932.YNL217W	inhibition	inhibition	t	t	502
4932.YAL016W	4932.YNL307C	activation	activation	f	f	226
4932.YAL016W	4932.YNL307C	activation	activation	t	f	226
4932.YAL016W	4932.YNL307C	inhibition	inhibition	f	f	226
4932.YAL016W	4932.YNL307C	inhibition	inhibition	t	f	226
4932.YAL016W	4932.YNL317W	activation	activation	t	f	163
4932.YAL016W	4932.YNL317W	activation	activation	t	t	163
4932.YAL016W	4932.YNR032W	activation	activation	t	f	153
4932.YAL016W	4932.YNR032W	activation	activation	t	t	153
4932.YAL016W	4932.YNR032W	inhibition	inhibition	t	f	198
4932.YAL016W	4932.YNR032W	inhibition	inhibition	t	t	198
4932.YAL016W	4932.YOL128C	activation	activation	f	f	226
4932.YAL016W	4932.YOL128C	activation	activation	t	f	226
4932.YAL016W	4932.YOL128C	inhibition	inhibition	f	f	226
4932.YAL016W	4932.YOL128C	inhibition	inhibition	t	f	226
4932.YAL016W	4932.YOR014W	activation	activation	t	f	700
4932.YAL016W	4932.YOR014W	activation	activation	t	t	700
4932.YAL016W	4932.YOR107W	activation	activation	t	f	159
4932.YAL016W	4932.YOR195W	inhibition	inhibition	f	f	800
4932.YAL016W	4932.YPL179W	activation	activation	t	f	293
4932.YAL016W	4932.YPL179W	activation	activation	t	t	293
4932.YAL016W	4932.YPL179W	inhibition	inhibition	t	f	198
4932.YAL016W	4932.YPL179W	inhibition	inhibition	t	t	198
4932.YAL016W	4932.YPL209C	activation	activation	t	f	158
4932.YAL016W	4932.YPL209C	activation	activation	t	t	158
4932.YAL017W	4932.YAR019C	activation	activation	f	f	158
4932.YAL017W	4932.YBL105C	activation	activation	f	f	198
4932.YAL017W	4932.YBL106C	inhibition	inhibition	f	f	209
4932.YAL017W	4932.YDL230W	activation	activation	f	f	158
4932.YAL017W	4932.YDL230W	inhibition	inhibition	f	f	158
4932.YAL017W	4932.YDR099W	activation	activation	t	t	189
4932.YAL017W	4932.YDR099W	inhibition	inhibition	t	f	189
4932.YAL017W	4932.YDR099W	inhibition	inhibition	t	t	189
4932.YAL017W	4932.YDR168W	activation	activation	f	f	208
4932.YAL017W	4932.YDR328C	inhibition	inhibition	t	f	197
4932.YAL017W	4932.YDR379W	activation	activation	f	f	198
4932.YAL017W	4932.YDR456W	activation	activation	f	f	185
4932.YAL017W	4932.YDR466W	activation	activation	f	f	158
4932.YAL017W	4932.YDR490C	activation	activation	f	f	158
4932.YAL017W	4932.YEL009C	activation	activation	f	f	161
4932.YAL017W	4932.YER020W	activation	activation	f	f	181
4932.YAL017W	4932.YER075C	activation	activation	f	f	158
4932.YAL017W	4932.YER075C	inhibition	inhibition	f	f	158
4932.YAL017W	4932.YER177W	activation	activation	t	t	189
4932.YAL017W	4932.YER177W	inhibition	inhibition	t	f	189
4932.YAL017W	4932.YER177W	inhibition	inhibition	t	t	189
4932.YAL017W	4932.YFR030W	activation	activation	f	f	157
4932.YAL017W	4932.YGL190C	inhibition	inhibition	f	f	183
4932.YAL017W	4932.YGR136W	activation	activation	f	f	209
4932.YAL017W	4932.YHL002W	activation	activation	f	f	159
4932.YAL017W	4932.YHL007C	activation	activation	f	f	158
4932.YAL017W	4932.YHR005C	activation	activation	f	f	181
4932.YAL017W	4932.YHR042W	activation	activation	f	f	157
4932.YAL017W	4932.YHR186C	activation	activation	f	f	226
4932.YAL017W	4932.YJL095W	activation	activation	f	f	158
4932.YAL017W	4932.YJL164C	inhibition	inhibition	f	f	158
4932.YAL017W	4932.YJR089W	activation	activation	f	f	229
4932.YAL017W	4932.YJR089W	inhibition	inhibition	f	f	229
4932.YAL017W	4932.YJR089W	inhibition	inhibition	t	f	175
4932.YAL017W	4932.YKL116C	activation	activation	t	t	183
4932.YAL017W	4932.YKL116C	inhibition	inhibition	t	f	197
4932.YAL017W	4932.YKL116C	inhibition	inhibition	t	t	197
4932.YAL017W	4932.YKL166C	inhibition	inhibition	f	f	158
4932.YAL017W	4932.YLL050C	inhibition	inhibition	f	f	213
4932.YAL017W	4932.YLR138W	activation	activation	f	f	185
4932.YAL017W	4932.YLR362W	activation	activation	f	f	158
4932.YAL017W	4932.YLR422W	activation	activation	f	f	151
4932.YAL017W	4932.YLR452C	inhibition	inhibition	f	f	208
4932.YAL017W	4932.YMR186W	activation	activation	f	f	209
4932.YAL017W	4932.YMR186W	activation	activation	t	f	177
4932.YAL017W	4932.YNL298W	activation	activation	f	f	158
4932.YAL017W	4932.YOL100W	activation	activation	f	f	158
4932.YAL017W	4932.YOL113W	activation	activation	f	f	158
