YAL005C,YOR178C
YAL010C,YKR001C
YAL010C,YLL001W
YAL014C,YKL196C
YAL016W,YJL076W
YAL016W,YOR195W
YAL024C,YML064C
YAL030W,YDR468C
YAL030W,YMR183C
YAL030W,YMR197C
YAL030W,YOL018C
YAL030W,YPL232W
YAL040C,YER111C
YAL040C,YLR182W
YAL040C,YOR083W
YAL041W,YER118C
YAL041W,YLR229C
YAL041W,YLR229C
YAL041W,YLR229C
YAL041W,YPR165W
YAL041W,YPR165W
YAL054C,YKL112W
YAR007C,YBL021C
YAR007C,YBL035C
YAR007C,YIR008C
YAR007C,YKL045W
YAR007C,YNL102W
YAR007C,YNL262W
YAR007C,YOR358W
YAR007C,YPR175W
YAR019C,YGR092W
YAR019C,YHR102W
YAR019C,YIL106W
YAR019C,YML064C
YAR019C,YPR111W
YBL004W,YDR324C
YBL004W,YDR398W
YBL004W,YGR090W
YBL004W,YGR095C
YBL004W,YGR159C
YBL004W,YJL050W
YBL004W,YJL069C
YBL004W,YJL109C
YBL004W,YMR093W
YBL004W,YOR001W
YBL004W,YPL126W
YBL016W,YDL159W
YBL016W,YDR480W
YBL016W,YER075C
YBL016W,YER123W
YBL016W,YFR028C
YBL016W,YGR218W
YBL016W,YHR084W
YBL016W,YHR135C
YBL016W,YIR026C
YBL016W,YJL128C
YBL016W,YJL157C
YBL016W,YNL053W
YBL016W,YNL154C
YBL016W,YNL271C
YBL016W,YOR208W
YBL016W,YPL049C
YBL021C,YAR007C
YBL021C,YBL023C
YBL021C,YBR060C
YBL021C,YBR160W
YBL021C,YBR202W
YBL021C,YDL017W
YBL021C,YEL032W
YBL021C,YGL201C
YBL021C,YIL150C
YBL021C,YJL194W
YBL021C,YLR103C
YBL021C,YLR274W
YBL021C,YNL261W
YBL021C,YNL312W
YBL021C,YPR019W
YBL021C,YPR162C
YBL023C,YBL021C
YBL023C,YBL035C
YBL023C,YDL017W
YBL023C,YDR052C
YBL023C,YIR008C
YBL023C,YKL045W
YBL023C,YNL102W
YBL023C,YNL262W
YBL023C,YOR358W
YBL023C,YPR175W
YBL035C,YAR007C
YBL035C,YBL023C
YBL035C,YBR060C
YBL035C,YBR160W
YBL035C,YBR202W
YBL035C,YDL017W
YBL035C,YEL032W
YBL035C,YGL201C
YBL035C,YIL150C
YBL035C,YJL194W
YBL035C,YLL004W
YBL035C,YLR103C
YBL035C,YLR274W
YBL035C,YNL261W
YBL035C,YNL312W
YBL035C,YPR019W
YBL035C,YPR162C
YBL078C,YBR097W
YBL078C,YBR217W
YBL078C,YDR207C
YBL078C,YHR171W
YBL078C,YIL146C
YBL078C,YKL002W
YBL078C,YKL041W
YBL078C,YLR025W
YBL078C,YLR240W
YBL078C,YLR240W
YBL078C,YMR077C
YBL078C,YNL223W
YBL078C,YNL223W
YBL078C,YNR007C
YBL078C,YPL120W
YBL078C,YPL120W
YBL078C,YPL149W
YBL079W,YJL041W
YBL079W,YJL041W
YBL084C,YGL003C
YBL084C,YGL116W
YBL084C,YGR108W
YBL084C,YJL013C
YBL084C,YJL030W
YBL084C,YMR001C
YBL084C,YOR026W
YBL084C,YPR119W
YBL088C,YBR274W
YBL088C,YMR224C
YBL104C,YEL062W
YBL104C,YJR138W
YBL105C,YDR466W
YBL105C,YDR490C
YBL105C,YJL095W
YBL105C,YOL100W
YBL105C,YPR165W
YBR060C,YBL021C
YBR060C,YBL035C
YBR060C,YIR008C
YBR060C,YKL045W
YBR060C,YNL102W
YBR060C,YNL262W
YBR060C,YOR358W
YBR060C,YPR175W
YBR088C,YDL102W
YBR088C,YJR006W
YBR088C,YLL039C
YBR088C,YNL262W
YBR097W,YBL078C
YBR097W,YDL149W
YBR097W,YLR240W
YBR109C,YHR205W
YBR109C,YKL126W
YBR109C,YLR229C
YBR109C,YMR104C
YBR109C,YPL242C
YBR112C,YDL101C
YBR112C,YNL167C
YBR128C,YGL180W
YBR133C,YJL187C
YBR133C,YLR113W
YBR133C,YNL317W
YBR135W,YDR328C
